,oid,sgn,formula,pretty_formula,yp,ypl
195,1529708,139,Mo2S4,MoS2,0.5389489,1.0
191,1524562,11,S2Mo2S2,MoS2,0.23932606,-1.0
164,9015309,14,Mo8S16,MoS2,0.9457912,1.0
106,2001429,14,S8Mo4,MoS2,0.34527904,-1.0
16,1535594,12,Mo2S4Mo4S8,MoS2,0.34276506,-1.0
93,1000043,225,Mo4S8,MoS2,0.88030577,1.0
83,1010033,180,Mo3S6,MoS2,0.15635478,-1.0
69,1010453,70,Mo8S16,MoS2,0.04519272,-1.0
221,2106860,12,Mo4S16Mo4,MoS2,0.623071,1.0
146,1523371,63,S4Mo4S4,MoS2,0.74816084,1.0
289,1539945,12,S4Mo2,MoS2,0.11627375,-1.0
29,9011169,33,Mo8S16,MoS2,0.8414258,1.0
114,9009089,14,Mo4S8,MoS2,0.13418372,-1.0
176,1011091,28,Mo8S16,MoS2,0.06789997,-1.0
168,1509319,14,Mo2S4,MoS2,0.13886441,-1.0
189,4329107,14,S8Mo4,MoS2,0.39884394,-1.0
136,1010054,166,Mo3S6,MoS2,0.7211625,1.0
254,4342498,12,S4Mo2,MoS2,0.9953086,1.0
290,1510181,62,S8Mo4,MoS2,0.086059265,-1.0
232,1509504,14,Mo4S8,MoS2,0.84658146,1.0
33,1536584,42,Mo4S8,MoS2,0.9550092,1.0
88,9012605,152,Mo3S6,MoS2,0.7744204,1.0
44,1540918,189,S8Mo4,MoS2,0.03598113,-1.0
61,1528382,5,Mo4S8,MoS2,0.31410822,-1.0
199,2106942,12,Mo2S4,MoS2,0.92336464,1.0
73,1544685,14,S8Mo4,MoS2,0.34163806,-1.0
217,8100903,11,Mo2S4,MoS2,0.118331484,-1.0
138,2107021,62,S4Mo4S4,MoS2,0.20162039,-1.0
212,9014436,92,Mo4S8,MoS2,0.58004534,1.0
234,1537680,150,S3Mo2S3Mo,MoS2,0.13501243,-1.0
67,9016398,53,Mo4S8,MoS2,0.020280614,-1.0
24,2106561,11,S2Mo2S2,MoS2,0.33352715,-1.0
216,1536409,154,S6Mo3,MoS2,0.67659295,1.0
129,4124624,160,Mo3S6,MoS2,0.21506953,-1.0
111,1525705,137,S4Mo2,MoS2,0.05853193,-1.0
166,1509681,74,S8Mo4,MoS2,0.934911,1.0
207,1009055,140,S8Mo4,MoS2,0.025872454,-1.0
274,2004123,12,Mo4S8,MoS2,0.710508,1.0
287,9012076,14,Mo8S16,MoS2,0.23839189,-1.0
121,1510794,164,S4Mo2,MoS2,0.0111882705,-1.0
228,1525360,194,S4Mo4S12Mo4,MoS2,0.8386767,1.0
117,1509710,14,S8Mo4,MoS2,0.5594039,1.0
25,1531955,36,S4Mo4S4,MoS2,0.7722644,1.0
110,4343817,33,S4Mo4S4,MoS2,0.44091356,-1.0
149,2310355,31,Mo4S8,MoS2,0.075974494,-1.0
152,1522859,51,S6Mo2S4Mo2S6Mo4,MoS2,0.10845712,-1.0
