,yp_proba,yp_label,y_true
347,0.9999993,1.0,1
348,0.99522626,1.0,1
349,0.99793965,1.0,1
350,0.051935505,-1.0,-1
351,0.00059873244,-1.0,-1
352,0.0005394596,-1.0,-1
353,0.99999607,1.0,1
354,0.0028684458,-1.0,-1
355,0.05487256,-1.0,-1
356,0.99999976,1.0,1
357,0.9999999,1.0,1
358,0.9999999,1.0,1
359,0.0008657929,-1.0,-1
360,0.9999999,1.0,1
361,0.54832846,1.0,1
362,0.10544675,-1.0,-1
363,0.019126756,-1.0,-1
364,0.067898855,-1.0,-1
365,0.97773355,1.0,1
366,0.033316057,-1.0,-1
367,0.9999956,1.0,1
368,0.99999976,1.0,1
369,0.05781562,-1.0,-1
370,1.0,1.0,1
371,0.0042519374,-1.0,-1
372,0.00095670857,-1.0,-1
373,0.9999999,1.0,1
374,0.99996555,1.0,1
375,0.006263388,-1.0,-1
376,0.99998486,1.0,1
377,0.9999989,1.0,1
378,0.0052958904,-1.0,-1
379,1.0,1.0,1
380,0.96777636,1.0,1
381,0.99999416,1.0,1
382,0.0005928702,-1.0,-1
383,0.0027011172,-1.0,-1
384,0.996915,1.0,1
385,0.0022524677,-1.0,-1
386,1.0,1.0,1
387,0.012071663,-1.0,-1
388,0.056929287,-1.0,-1
389,0.9999994,1.0,1
390,0.9999999,1.0,1
391,0.01801721,-1.0,-1
392,1.0,1.0,1
393,0.0037142886,-1.0,-1
394,0.0063043023,-1.0,-1
395,0.9999999,1.0,1
396,0.0025390005,-1.0,-1
397,0.9999995,1.0,1
398,0.118643984,-1.0,-1
399,1.0,1.0,1
400,0.13874713,-1.0,-1
401,0.9925162,1.0,1
402,0.03176646,-1.0,-1
403,1.0,1.0,1
404,0.0064815814,-1.0,-1
405,0.99999917,1.0,1
406,0.9997851,1.0,1
407,0.99994075,1.0,1
408,0.999982,1.0,1
409,0.004522095,-1.0,-1
410,0.9999999,1.0,1
411,0.0025390005,-1.0,-1
412,0.9999331,1.0,1
413,0.002037789,-1.0,-1
414,0.00051435,-1.0,-1
415,0.0076920143,-1.0,-1
416,0.9875213,1.0,1
417,0.99999714,1.0,1
418,0.0025549133,-1.0,-1
419,0.4096143,-1.0,1
420,0.01882414,-1.0,-1
421,0.99999917,1.0,1
422,0.0021534713,-1.0,-1
423,0.999985,1.0,1
424,1.0,1.0,1
425,1.0,1.0,1
426,0.99999976,1.0,1
427,0.0009806602,-1.0,-1
428,0.99999976,1.0,1
429,0.99999905,1.0,1
430,0.0021009333,-1.0,-1
431,0.9999906,1.0,1
432,0.03413138,-1.0,-1
433,0.0005928702,-1.0,-1
434,0.99999917,1.0,1
435,0.019495845,-1.0,-1
436,0.99999964,1.0,1
437,0.99999964,1.0,1
438,0.9999597,1.0,1
439,1.0,1.0,1
440,0.9997317,1.0,1
441,0.9999962,1.0,1
442,0.009630282,-1.0,-1
443,1.0,1.0,1
444,0.036998965,-1.0,-1
445,0.9999999,1.0,1
446,0.9999999,1.0,1
447,0.9874155,1.0,1
448,0.006534112,-1.0,-1
449,0.011236882,-1.0,-1
450,0.0063063125,-1.0,-1
451,0.9331029,1.0,1
452,0.99999905,1.0,1
453,0.0025316963,-1.0,-1
454,0.10986834,-1.0,-1
455,0.0031840224,-1.0,-1
456,0.99998415,1.0,1
457,0.9999999,1.0,1
458,0.9999994,1.0,1
459,0.9999995,1.0,1
460,0.0010814087,-1.0,-1
461,0.00046899955,-1.0,-1
462,0.29087692,-1.0,-1
463,0.9999999,1.0,1
464,0.9888045,1.0,1
465,0.012233685,-1.0,-1
466,0.9999653,1.0,1
467,0.99961495,1.0,1
468,0.0063043023,-1.0,-1
469,0.99999917,1.0,1
470,0.0003264367,-1.0,-1
471,0.9999995,1.0,1
472,0.99870443,1.0,1
473,0.99331385,1.0,1
474,0.9999993,1.0,1
475,0.006263388,-1.0,-1
476,0.0018925456,-1.0,-1
477,0.0070761503,-1.0,-1
478,0.9999993,1.0,1
479,0.15475552,-1.0,-1
480,0.99999976,1.0,1
481,0.9999902,1.0,1
482,0.99999905,1.0,1
483,0.9746499,1.0,1
484,0.9999999,1.0,1
485,0.99997675,1.0,1
486,0.9999999,1.0,1
487,0.99999094,1.0,1
488,0.0005331074,-1.0,-1
489,0.99999607,1.0,1
490,0.0100028785,-1.0,-1
491,0.0019900524,-1.0,-1
492,0.003429205,-1.0,-1
493,0.005793651,-1.0,-1
494,1.0,1.0,1
495,0.027404543,-1.0,-1
496,0.0006517451,-1.0,-1
497,1.0,1.0,1
498,0.99999726,1.0,1
499,0.19312274,-1.0,-1
500,0.99999976,1.0,1
501,0.00093414163,-1.0,-1
502,0.0032820671,-1.0,-1
503,0.008769147,-1.0,-1
504,0.070907794,-1.0,-1
505,0.9999807,1.0,1
506,0.09625191,-1.0,-1
507,0.9999957,1.0,1
508,0.033316057,-1.0,-1
509,0.9999999,1.0,1
510,0.99999976,1.0,1
511,0.0014902267,-1.0,-1
512,1.0,1.0,1
513,0.99999976,1.0,1
514,0.9999999,1.0,1
515,0.009851163,-1.0,-1
516,0.9999999,1.0,1
517,0.0022524677,-1.0,-1
518,0.0042983205,-1.0,-1
519,0.13887738,-1.0,-1
520,0.001129146,-1.0,-1
521,0.99972254,1.0,1
522,0.0008001686,-1.0,-1
523,0.0019397562,-1.0,-1
524,0.5899209,1.0,1
525,0.99999976,1.0,1
526,1.0,1.0,1
527,0.00534374,-1.0,-1
528,0.00059873244,-1.0,-1
529,0.010545791,-1.0,-1
530,0.0013158257,-1.0,-1
531,0.011741347,-1.0,-1
532,0.0014565734,-1.0,-1
533,0.0031976025,-1.0,-1
534,0.9999994,1.0,1
535,0.051935505,-1.0,-1
536,0.9971096,1.0,1
537,0.9999993,1.0,1
538,1.0,1.0,1
539,0.0025390005,-1.0,-1
540,0.06118097,-1.0,-1
541,0.019695485,-1.0,-1
542,0.9999994,1.0,1
543,0.99999976,1.0,1
544,1.0,1.0,1
545,0.0072613065,-1.0,-1
546,1.0,1.0,1
547,0.9999993,1.0,1
548,0.99999917,1.0,1
549,0.00067170436,-1.0,-1
550,0.064282715,-1.0,-1
551,0.99999976,1.0,1
552,0.00046906056,-1.0,-1
553,1.0,1.0,1
554,0.9999999,1.0,1
555,0.0005854509,-1.0,-1
556,0.006534112,-1.0,-1
557,0.09217842,-1.0,-1
558,0.9999995,1.0,1
559,0.026314534,-1.0,-1
560,0.019695485,-1.0,-1
561,0.01281392,-1.0,-1
562,0.004047724,-1.0,-1
563,1.0,1.0,1
564,0.9999999,1.0,1
565,0.99999964,1.0,1
566,0.00058068254,-1.0,-1
567,0.05343588,-1.0,-1
568,0.9289678,1.0,1
569,0.9999858,1.0,1
570,0.0014152033,-1.0,-1
571,0.0012056918,-1.0,-1
572,0.0044953083,-1.0,-1
573,0.004580406,-1.0,-1
574,0.9999932,1.0,1
575,0.999925,1.0,1
576,0.9999577,1.0,1
577,0.022133399,-1.0,-1
578,0.9999995,1.0,1
579,0.027404543,-1.0,-1
580,0.99999976,1.0,1
581,0.0075631086,-1.0,-1
582,0.0008682982,-1.0,-1
583,1.0,1.0,1
584,0.0011724365,-1.0,-1
585,0.9999999,1.0,1
586,0.018955229,-1.0,-1
587,0.024889804,-1.0,-1
588,0.9983935,1.0,1
589,0.9999999,1.0,1
590,0.9999999,1.0,1
591,1.0,1.0,1
592,0.0068779225,-1.0,-1
593,0.00046899955,-1.0,-1
594,0.033203587,-1.0,-1
595,0.9999989,1.0,1
596,0.9999833,1.0,1
597,0.99999654,1.0,1
598,0.9999957,1.0,1
